Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
9.5,41,Yes,5,8,39
3.5,89,Yes,5,9,69
2.5,60,Yes,9,5,42
3.5,72,Yes,9,3,54
1.5,63,Yes,8,4,37
6.5,92,Yes,9,8,81
7.5,83,Yes,4,3,74
2.5,81,No,6,2,60
8.5,73,Yes,4,7,68
6.5,99,Yes,5,4,92
4.5,48,No,4,8,35
5.5,41,No,7,1,24
8.5,94,No,7,8,87
3.5,95,Yes,5,5,74
3.5,69,Yes,4,2,50
4.5,61,No,6,1,44
1.5,85,No,5,6,62
9.5,50,No,7,9,46
8.5,94,Yes,5,9,86
8.5,82,Yes,4,9,76
6.5,56,No,4,4,45
7.5,75,Yes,4,6,67
6.5,52,Yes,8,10,46
9.5,46,No,4,6,41
3.5,55,No,9,5,39
3.5,72,No,7,2,51
3.5,84,Yes,7,7,68
3.5,40,Yes,8,1,22
9.5,50,Yes,7,6,52
4.5,45,Yes,7,5,26
7.5,59,Yes,5,5,54
9.5,74,No,4,8,72
7.5,83,Yes,9,9,78
9.5,76,Yes,9,7,76
3.5,80,No,5,10,61
4.5,65,No,9,8,50
8.5,97,No,5,2,88
6.5,51,No,9,2,41
5.5,69,Yes,7,8,57
4.5,67,Yes,6,6,50
8.5,66,No,4,8,60
1.5,81,Yes,6,9,60
9.5,58,No,7,9,55
1.5,44,Yes,8,6,18
8.5,97,Yes,5,8,91
4.5,44,Yes,9,2,24
9.5,80,No,9,8,83
5.5,66,No,7,3,50
3.5,67,Yes,9,1,51
9.5,65,Yes,7,7,61
9.5,66,No,6,1,61
4.5,91,No,8,1,75
4.5,88,Yes,5,1,72
8.5,81,Yes,9,4,78
2.5,60,No,8,4,35
9.5,40,Yes,8,10,40
6.5,93,No,8,6,86
9.5,67,No,4,10,65
8.5,87,Yes,8,3,88
7.5,97,Yes,7,10,92
1.5,97,Yes,4,6,74
3.5,54,No,4,7,35
2.5,94,No,8,1,71
5.5,56,No,9,6,43
5.5,65,Yes,9,10,56
5.5,59,Yes,9,1,46
4.5,64,No,9,7,50
5.5,52,No,7,10,38
3.5,72,Yes,9,5,56
1.5,64,No,5,10,39
5.5,47,Yes,8,4,36
9.5,44,Yes,4,1,42
9.5,45,No,5,9,44
4.5,62,No,9,7,47
3.5,91,No,5,2,70
1.5,69,No,4,4,38
2.5,53,No,9,4,32
8.5,93,Yes,5,8,91
1.5,62,No,7,2,34
8.5,50,Yes,7,5,45
7.5,70,No,8,10,63
8.5,45,No,8,8,42
6.5,50,No,5,6,39
9.5,52,No,4,4,46
3.5,51,No,7,5,35
4.5,93,No,6,2,73
6.5,41,Yes,8,5,30
8.5,92,No,7,3,84
5.5,74,No,9,3,62
3.5,94,No,5,7,76
6.5,75,No,7,3,64
4.5,56,Yes,7,4,37
9.5,67,Yes,5,7,63
3.5,67,Yes,8,3,50
4.5,61,Yes,8,10,47
7.5,77,Yes,6,10,70
7.5,46,Yes,6,2,36
4.5,54,No,8,10,39
6.5,71,No,8,7,63
3.5,50,Yes,8,5,31
6.5,63,No,8,1,53
2.5,42,No,7,10,17
8.5,69,No,6,8,67
2.5,45,No,5,3,21
7.5,97,No,4,7,87
9.5,41,Yes,5,6,39
1.5,53,Yes,9,10,31
8.5,80,Yes,4,6,72
7.5,57,Yes,7,8,50
6.5,90,Yes,9,4,80
6.5,83,Yes,6,4,70
6.5,70,No,4,3,57
9.5,52,Yes,8,1,48
2.5,65,No,9,10,42
1.5,83,No,7,3,59
6.5,51,Yes,4,1,39
8.5,57,Yes,8,6,53
3.5,48,Yes,9,8,26
1.5,88,No,7,3,63
9.5,60,Yes,9,4,61
1.5,87,Yes,4,5,64
3.5,88,Yes,8,7,73
8.5,92,No,6,6,85
3.5,95,Yes,7,2,75
4.5,79,Yes,4,7,62
8.5,82,No,8,8,78
1.5,63,No,6,1,37
6.5,73,No,9,6,66
1.5,47,Yes,8,9,24
1.5,83,Yes,6,7,61
8.5,92,No,4,5,84
4.5,72,Yes,8,10,57
1.5,62,No,8,10,38
7.5,52,No,5,9,44
5.5,93,No,7,2,77
5.5,92,No,8,7,84
1.5,88,No,6,9,64
6.5,53,Yes,7,2,40
9.5,53,Yes,4,10,49
9.5,55,Yes,7,6,54
8.5,88,Yes,5,9,85
5.5,77,No,4,3,64
1.5,97,Yes,8,8,74
9.5,99,No,9,5,100
1.5,78,No,4,7,53
8.5,65,Yes,4,3,59
5.5,65,Yes,5,8,51
3.5,40,No,6,2,19
7.5,71,Yes,4,8,63
7.5,96,Yes,6,2,88
9.5,54,Yes,7,7,54
7.5,91,Yes,9,2,88
3.5,60,No,5,7,38
1.5,57,No,8,1,32
8.5,69,Yes,4,6,64
3.5,99,No,9,10,82
8.5,97,No,9,7,96
8.5,52,Yes,6,4,46
5.5,63,Yes,4,1,49
1.5,69,No,9,6,48
7.5,41,No,5,4,32
5.5,58,No,8,3,44
8.5,86,Yes,7,4,83
9.5,83,No,7,6,81
7.5,86,No,6,5,77
7.5,64,Yes,9,2,58
1.5,89,No,7,2,65
4.5,53,Yes,6,3,36
2.5,45,Yes,8,6,25
2.5,51,No,4,1,31
2.5,59,Yes,5,7,39
4.5,62,Yes,8,8,46
1.5,69,No,8,7,45
4.5,69,Yes,7,3,54
2.5,77,No,7,6,54
5.5,97,Yes,5,4,85
3.5,69,Yes,4,5,48
8.5,80,No,8,3,77
4.5,69,No,9,5,58
1.5,96,No,7,6,72
1.5,97,Yes,8,8,75
3.5,75,No,4,6,55
9.5,88,Yes,6,9,85
7.5,73,No,4,10,63
2.5,55,Yes,8,10,36
9.5,63,No,8,10,63
2.5,53,Yes,5,10,31
3.5,65,No,8,4,48
2.5,47,Yes,7,2,26
3.5,53,Yes,9,9,41
6.5,70,Yes,5,3,57
9.5,41,Yes,8,7,39
9.5,87,No,4,4,87
7.5,43,Yes,8,1,39
3.5,40,No,4,8,18
4.5,94,Yes,4,4,76
6.5,59,No,8,6,49
5.5,98,Yes,4,7,88
2.5,53,Yes,9,8,33
6.5,79,No,6,10,69
3.5,64,No,5,2,43
8.5,99,Yes,8,9,97
2.5,64,No,6,10,43
1.5,42,No,4,3,19
9.5,44,No,4,1,42
3.5,77,Yes,5,2,55
1.5,93,No,6,8,68
7.5,65,Yes,6,10,58
5.5,79,No,8,6,66
5.5,77,No,4,1,63
1.5,77,Yes,7,9,57
9.5,43,No,8,7,40
7.5,46,No,8,10,39
8.5,69,No,8,3,66
9.5,69,No,5,7,69
6.5,95,No,5,6,83
5.5,58,No,8,3,45
6.5,78,No,9,8,68
2.5,74,Yes,7,1,54
4.5,79,Yes,6,5,62
3.5,72,Yes,6,8,54
7.5,72,Yes,4,3,62
9.5,53,Yes,6,10,50
5.5,77,No,6,6,62
6.5,49,Yes,7,10,39
2.5,96,Yes,6,2,77
3.5,67,No,7,9,48
3.5,53,Yes,5,2,33
9.5,75,No,7,5,72
7.5,77,No,5,3,70
8.5,55,Yes,7,10,54
9.5,99,Yes,8,9,101
6.5,60,No,9,9,50
4.5,67,No,5,7,49
1.5,72,Yes,5,10,46
8.5,45,No,6,5,41
7.5,80,Yes,5,9,72
2.5,54,Yes,7,7,35
8.5,83,Yes,8,2,77
5.5,42,Yes,8,10,30
7.5,82,No,6,1,72
4.5,86,No,7,10,70
5.5,74,Yes,7,10,59
8.5,53,Yes,4,4,44
1.5,41,No,5,10,18
1.5,68,No,6,8,42
4.5,43,No,8,6,28
3.5,65,No,9,2,46
2.5,90,No,4,5,66
3.5,51,Yes,7,9,32
1.5,41,Yes,5,6,15
1.5,56,Yes,8,6,34
6.5,74,Yes,4,7,61
5.5,49,No,7,5,35
8.5,87,No,8,3,83
2.5,61,Yes,8,3,41
4.5,80,Yes,7,5,67
8.5,82,No,7,4,77
6.5,60,Yes,6,5,47
1.5,54,Yes,8,9,32
4.5,74,No,7,5,58
1.5,87,No,9,4,66
2.5,60,No,9,4,39
5.5,60,Yes,4,1,47
8.5,60,No,5,10,54
8.5,99,No,9,4,98
3.5,83,Yes,6,4,64
4.5,71,No,7,9,56
6.5,94,Yes,5,4,80
3.5,44,Yes,6,7,27
2.5,78,Yes,8,1,56
6.5,48,Yes,5,7,38
5.5,92,No,9,2,79
5.5,57,Yes,6,8,46
5.5,60,No,7,1,46
5.5,47,No,7,10,35
3.5,83,No,6,3,67
7.5,91,No,8,8,80
6.5,73,No,9,10,64
4.5,49,Yes,6,8,33
2.5,90,No,4,5,65
9.5,80,Yes,6,5,79
1.5,96,Yes,6,8,70
4.5,63,Yes,9,10,47
1.5,79,No,7,5,55
6.5,63,No,8,9,52
4.5,95,No,6,1,79
5.5,71,No,5,5,55
5.5,95,Yes,7,3,81
9.5,72,No,7,3,68
1.5,77,No,6,2,49
2.5,83,Yes,9,3,62
6.5,96,Yes,5,7,84
5.5,95,Yes,6,8,83
7.5,90,Yes,5,8,79
3.5,98,Yes,7,8,79
3.5,88,Yes,5,1,71
2.5,73,Yes,6,7,49
3.5,50,No,4,2,27
1.5,70,No,4,10,47
5.5,57,Yes,5,4,43
5.5,62,Yes,9,5,47
7.5,99,No,6,1,92
4.5,61,Yes,8,4,48
3.5,82,Yes,4,4,62
1.5,57,Yes,7,9,32
8.5,79,Yes,6,9,72
3.5,86,Yes,6,10,67
2.5,80,No,4,1,53
4.5,86,Yes,8,8,72
3.5,78,Yes,7,4,61
1.5,59,Yes,8,4,33
3.5,52,No,7,5,34
2.5,84,No,4,2,57
8.5,40,Yes,6,1,33
6.5,91,Yes,7,5,77
9.5,43,Yes,6,7,41
8.5,63,Yes,5,10,61
3.5,75,No,5,9,55
5.5,75,No,4,2,60
7.5,84,Yes,4,8,75
5.5,41,Yes,9,7,30
8.5,67,No,4,2,62
5.5,65,No,5,5,51
1.5,62,Yes,7,7,37
5.5,54,Yes,8,3,42
4.5,75,Yes,4,2,61
6.5,66,No,8,6,57
3.5,45,No,8,10,24
5.5,74,No,5,6,64
2.5,78,No,9,4,55
6.5,77,Yes,7,1,65
6.5,74,No,5,5,65
5.5,75,No,4,1,59
6.5,49,No,5,8,39
7.5,69,Yes,5,2,61
5.5,92,No,5,9,80
1.5,80,No,4,9,58
8.5,77,No,4,3,70
4.5,68,Yes,5,6,52
9.5,91,No,5,9,87
6.5,98,Yes,8,7,91
1.5,82,Yes,7,4,58
3.5,78,No,8,3,62
3.5,89,Yes,9,2,72
4.5,43,No,7,10,31
6.5,44,Yes,9,10,35
7.5,43,Yes,7,1,35
4.5,75,No,5,10,59
6.5,98,No,8,1,86
1.5,84,Yes,7,4,56
8.5,55,Yes,9,4,52
7.5,64,Yes,7,9,54
9.5,53,Yes,4,10,52
3.5,50,No,7,1,32
2.5,68,Yes,5,4,45
1.5,73,Yes,6,3,49
3.5,61,No,4,9,42
5.5,53,Yes,6,5,41
2.5,95,No,5,9,73
3.5,63,No,6,10,42
4.5,98,No,7,6,79
7.5,78,Yes,6,9,71
3.5,65,No,8,1,42
9.5,82,No,5,4,79
8.5,75,No,8,4,71
4.5,78,Yes,6,10,62
1.5,55,Yes,8,10,34
1.5,97,Yes,4,6,72
1.5,77,Yes,6,10,52
1.5,98,No,9,1,73
8.5,71,No,8,10,70
3.5,45,No,7,5,22
6.5,73,Yes,6,3,62
3.5,95,No,9,1,77
5.5,47,Yes,4,6,31
7.5,69,Yes,7,3,60
2.5,66,Yes,6,4,46
6.5,46,No,7,9,40
6.5,66,No,6,2,54
3.5,64,Yes,6,1,44
6.5,95,No,5,10,86
5.5,85,Yes,8,6,71
2.5,80,No,6,1,57
9.5,54,Yes,4,1,53
8.5,64,Yes,9,7,66
3.5,61,Yes,8,2,40
8.5,57,No,5,4,49
9.5,51,No,8,4,48
3.5,62,No,8,2,42
3.5,90,No,6,6,73
2.5,84,No,4,10,62
8.5,78,Yes,6,2,75
1.5,64,No,4,8,39
8.5,49,Yes,4,4,43
7.5,69,No,7,1,61
7.5,49,No,6,7,36
3.5,73,No,5,6,53
1.5,85,Yes,9,6,62
4.5,52,No,8,3,33
9.5,93,Yes,7,10,96
5.5,68,No,5,7,54
1.5,77,Yes,9,6,55
5.5,80,Yes,9,10,71
8.5,84,Yes,6,10,79
8.5,48,Yes,4,9,43
5.5,52,No,6,3,34
9.5,76,No,9,3,76
1.5,53,Yes,6,4,27
4.5,76,No,7,3,59
3.5,48,Yes,5,4,30
2.5,47,No,9,6,30
8.5,78,No,7,1,71
7.5,79,No,5,2,68
9.5,93,Yes,7,10,94
2.5,42,No,8,6,22
4.5,94,Yes,4,6,75
6.5,95,No,4,1,83
3.5,86,Yes,4,6,66
8.5,79,No,8,9,76
3.5,72,Yes,9,8,56
2.5,71,Yes,9,10,55
3.5,46,Yes,8,5,27
6.5,58,No,4,4,49
2.5,73,Yes,4,6,50
8.5,53,No,5,5,50
1.5,89,Yes,5,6,65
7.5,86,Yes,6,10,82
2.5,85,Yes,7,3,65
6.5,95,No,5,7,83
2.5,96,No,5,8,75
2.5,58,No,5,5,33
8.5,90,No,5,5,84
2.5,93,No,8,4,69
7.5,98,No,6,10,91
3.5,65,No,5,5,45
8.5,56,Yes,9,10,52
7.5,93,Yes,7,8,87
8.5,67,No,5,5,63
7.5,58,No,8,9,49
6.5,66,No,9,1,57
7.5,87,No,4,7,80
5.5,91,No,4,5,75
7.5,96,Yes,6,4,83
1.5,58,No,4,3,33
1.5,72,No,5,10,47
9.5,90,No,8,7,89
5.5,46,Yes,6,2,36
5.5,68,Yes,9,5,57
3.5,94,Yes,5,2,75
5.5,82,Yes,4,7,68
3.5,44,No,7,6,24
9.5,69,Yes,5,10,68
9.5,88,Yes,7,7,87
6.5,82,Yes,9,9,71
1.5,95,Yes,7,2,69
7.5,97,Yes,9,9,92
7.5,47,No,6,7,43
4.5,81,Yes,8,2,63
8.5,51,Yes,4,10,45
6.5,81,Yes,4,2,68
4.5,52,No,5,4,36
4.5,65,No,4,2,47
2.5,57,No,6,1,32
2.5,81,No,4,6,60
4.5,90,No,5,10,72
5.5,91,No,4,5,75
8.5,88,No,8,3,81
6.5,59,No,9,1,50
4.5,55,Yes,7,9,40
7.5,76,Yes,7,8,68
8.5,42,No,9,6,39
2.5,66,Yes,7,6,48
7.5,54,No,8,4,42
2.5,97,Yes,6,2,76
2.5,73,Yes,5,4,54
8.5,84,No,8,2,82
2.5,61,Yes,5,7,38
9.5,79,No,6,9,78
1.5,62,No,8,2,37
9.5,98,Yes,4,9,96
1.5,88,No,6,9,66
2.5,43,Yes,7,8,19
6.5,90,Yes,8,1,81
6.5,93,No,6,5,82
1.5,96,No,6,10,74
7.5,80,No,8,4,75
8.5,62,No,7,7,58
2.5,86,No,9,8,65
8.5,99,Yes,7,10,98
9.5,48,No,6,8,43
6.5,63,Yes,5,2,49
5.5,60,No,9,3,47
9.5,80,Yes,9,10,80
9.5,85,Yes,6,10,84
1.5,94,Yes,8,7,71
3.5,92,Yes,8,4,74
9.5,55,Yes,8,6,57
2.5,95,No,7,8,72
4.5,94,Yes,4,8,77
4.5,64,No,8,7,50
2.5,65,Yes,8,2,44
3.5,88,No,9,2,68
3.5,84,Yes,5,3,64
1.5,48,Yes,5,4,19
6.5,54,No,6,1,44
8.5,78,No,6,5,73
3.5,72,Yes,6,7,58
5.5,40,Yes,8,10,26
1.5,44,No,5,5,16
7.5,95,Yes,6,7,89
1.5,48,Yes,5,5,25
9.5,83,No,8,10,82
8.5,45,Yes,9,8,41
7.5,67,Yes,8,7,61
7.5,84,No,6,1,74
5.5,65,Yes,8,1,53
5.5,67,No,8,5,54
5.5,79,No,5,2,66
1.5,54,Yes,4,9,31
8.5,45,Yes,7,2,40
1.5,66,No,6,9,44
4.5,77,No,4,10,60
9.5,43,Yes,9,2,39
9.5,50,No,6,4,45
5.5,60,Yes,4,3,45
4.5,69,No,8,6,54
3.5,57,No,6,4,38
3.5,74,No,4,9,53
5.5,42,Yes,7,9,31
1.5,51,No,8,10,23
5.5,66,No,6,9,52
6.5,92,No,9,3,83
7.5,69,No,9,3,64
9.5,60,Yes,6,4,59
3.5,77,No,4,9,59
2.5,60,Yes,6,6,39
3.5,99,No,8,9,81
9.5,77,No,5,8,71
7.5,79,Yes,9,7,73
9.5,54,Yes,4,5,49
2.5,57,No,7,9,37
5.5,91,No,6,4,74
4.5,68,No,8,4,52
2.5,87,Yes,6,8,64
9.5,77,No,7,4,75
9.5,99,Yes,8,7,99
6.5,60,No,7,4,46
6.5,56,Yes,8,1,46
8.5,80,Yes,5,10,75
6.5,90,Yes,9,9,82
1.5,57,No,8,4,31
4.5,96,No,7,3,78
7.5,94,Yes,4,3,87
2.5,76,Yes,9,9,59
9.5,99,Yes,5,8,100
8.5,77,No,6,10,70
8.5,51,No,5,7,48
7.5,50,No,5,7,43
4.5,87,Yes,6,4,74
2.5,91,No,8,3,72
3.5,88,No,5,4,69
6.5,59,No,9,6,48
5.5,48,Yes,5,4,32
8.5,40,No,4,4,32
6.5,97,No,9,2,87
6.5,42,No,4,7,28
1.5,60,No,9,6,33
4.5,62,No,7,2,42
5.5,48,Yes,6,5,34
3.5,93,Yes,9,6,76
9.5,58,Yes,9,5,58
1.5,84,Yes,8,4,60
6.5,94,No,8,9,88
6.5,85,No,7,3,73
5.5,91,Yes,8,2,79
5.5,58,Yes,8,9,47
5.5,62,Yes,4,8,48
6.5,66,No,8,9,59
8.5,66,No,8,10,64
2.5,78,No,7,3,57
6.5,75,Yes,7,1,63
1.5,51,Yes,5,1,24
4.5,94,Yes,8,3,74
3.5,66,No,8,4,47
9.5,85,No,9,2,81
3.5,73,Yes,8,8,60
6.5,72,Yes,4,3,61
1.5,67,No,9,4,42
6.5,70,No,8,6,62
4.5,71,Yes,4,10,52
8.5,89,Yes,5,6,83
9.5,59,No,9,2,56
4.5,79,Yes,6,6,65
6.5,74,Yes,8,4,62
1.5,70,No,9,5,45
4.5,97,Yes,7,7,82
7.5,70,No,9,7,65
1.5,77,Yes,7,6,54
8.5,61,No,8,10,56
6.5,84,Yes,4,6,73
5.5,80,Yes,7,6,66
9.5,48,Yes,9,4,45
2.5,91,No,9,3,71
5.5,48,Yes,7,1,35
6.5,54,Yes,5,3,42
7.5,52,No,5,3,44
5.5,61,Yes,5,9,49
9.5,55,No,7,3,47
1.5,71,No,7,8,48
7.5,41,No,9,8,38
7.5,65,Yes,8,3,57
4.5,53,No,8,10,41
9.5,98,Yes,4,10,97
5.5,77,No,7,6,64
4.5,73,Yes,8,8,59
7.5,47,No,8,8,37
4.5,75,No,5,10,62
3.5,60,Yes,5,10,40
9.5,95,No,5,9,91
8.5,85,Yes,6,9,80
1.5,82,No,8,8,59
7.5,95,Yes,5,7,90
9.5,67,No,5,10,65
8.5,85,No,7,3,79
8.5,83,Yes,9,7,80
6.5,87,No,5,4,73
4.5,45,Yes,7,2,27
8.5,59,Yes,4,8,53
3.5,70,No,5,2,50
9.5,72,No,9,1,67
2.5,83,No,7,5,60
2.5,46,Yes,9,10,29
7.5,47,Yes,5,9,40
4.5,48,No,4,5,32
8.5,41,Yes,5,2,34
9.5,56,No,7,10,58
7.5,91,No,4,4,84
5.5,84,No,4,8,70
8.5,76,Yes,4,7,72
4.5,81,Yes,6,5,63
2.5,83,No,7,4,59
6.5,56,Yes,6,5,47
9.5,92,No,9,7,94
1.5,77,No,4,5,49
7.5,74,Yes,6,8,69
9.5,99,No,5,7,98
9.5,86,No,6,7,83
3.5,78,No,8,9,58
5.5,69,No,9,8,56
8.5,45,No,4,8,38
8.5,43,Yes,4,6,36
4.5,90,Yes,9,7,73
1.5,76,No,9,8,52
1.5,74,Yes,7,5,51
4.5,97,No,5,10,83
6.5,96,No,9,2,85
8.5,48,No,9,7,47
6.5,45,No,7,10,35
9.5,52,Yes,9,3,56
9.5,98,Yes,6,10,96
2.5,61,No,8,8,41
1.5,67,Yes,8,6,43
2.5,69,No,8,4,46
5.5,91,Yes,9,2,81
4.5,75,No,8,7,61
4.5,41,No,5,1,22
9.5,97,No,6,7,96
8.5,75,Yes,8,10,73
6.5,47,Yes,4,10,36
1.5,84,No,9,7,59
2.5,81,Yes,6,10,60
6.5,89,Yes,5,3,78
2.5,48,Yes,8,4,24
5.5,40,Yes,5,4,27
5.5,52,Yes,9,4,40
6.5,89,Yes,8,9,80
6.5,54,Yes,4,6,40
6.5,71,Yes,6,10,62
2.5,73,Yes,4,9,48
3.5,82,Yes,8,4,64
6.5,70,Yes,7,7,62
8.5,53,Yes,6,10,52
1.5,93,Yes,5,9,69
1.5,86,No,8,10,67
2.5,53,No,4,3,30
6.5,87,Yes,9,3,79
9.5,94,Yes,7,6,95
4.5,68,Yes,9,8,57
3.5,86,No,8,1,69
8.5,58,No,5,4,51
9.5,66,Yes,4,8,63
5.5,48,Yes,6,6,32
9.5,76,Yes,7,2,74
2.5,76,Yes,8,8,58
3.5,82,Yes,8,1,61
7.5,67,No,8,1,57
7.5,91,Yes,8,7,89
6.5,96,No,4,10,85
6.5,63,Yes,6,3,49
2.5,67,Yes,5,8,42
6.5,75,No,7,9,66
4.5,91,No,8,8,75
3.5,57,Yes,9,1,39
2.5,64,No,8,1,41
1.5,74,Yes,6,6,50
5.5,43,No,6,1,31
2.5,53,No,4,8,30
2.5,78,Yes,4,6,58
7.5,65,Yes,9,5,59
8.5,47,No,9,6,41
8.5,63,Yes,4,4,61
4.5,55,No,7,1,42
1.5,59,No,9,7,35
7.5,54,Yes,4,10,47
1.5,46,No,8,9,25
4.5,97,Yes,4,4,80
8.5,56,Yes,7,4,53
2.5,61,No,4,9,37
6.5,61,Yes,4,4,53
6.5,93,No,8,10,85
9.5,51,No,9,4,51
5.5,57,Yes,8,8,48
4.5,95,Yes,8,4,82
5.5,85,No,4,9,71
5.5,86,Yes,8,8,78
8.5,54,No,6,5,50
8.5,76,No,5,9,71
2.5,55,No,5,8,29
7.5,44,No,8,10,37
8.5,41,No,9,4,35
6.5,91,Yes,7,4,81
5.5,67,No,8,1,52
9.5,96,No,9,4,96
3.5,80,No,8,8,61
4.5,93,No,4,5,79
9.5,66,No,9,6,66
6.5,70,No,7,4,58
8.5,80,Yes,8,5,76
7.5,75,Yes,6,10,70
2.5,86,No,9,8,63
3.5,82,No,5,9,64
1.5,40,No,9,3,12
9.5,89,Yes,6,10,92
7.5,68,No,6,4,59
1.5,40,No,6,1,16
3.5,47,No,7,5,25
4.5,96,No,7,4,81
4.5,55,No,9,6,37
5.5,97,No,7,6,84
3.5,67,Yes,5,10,50
3.5,61,No,4,6,42
1.5,57,No,9,3,34
7.5,61,No,8,7,53
1.5,80,No,8,3,53
2.5,51,No,9,6,32
4.5,58,No,4,10,39
4.5,64,No,8,1,46
5.5,89,No,9,8,80
2.5,98,No,9,7,79
4.5,44,Yes,6,9,25
1.5,98,Yes,5,3,73
2.5,73,Yes,8,8,53
1.5,78,No,5,2,51
4.5,98,Yes,9,9,84
4.5,49,Yes,4,1,33
7.5,86,Yes,9,10,85
9.5,96,Yes,8,7,96
9.5,46,No,5,10,44
5.5,99,Yes,6,1,83
1.5,76,Yes,6,6,55
1.5,86,No,9,1,60
6.5,91,Yes,4,4,79
2.5,99,No,7,7,80
8.5,91,Yes,8,2,88
9.5,54,Yes,9,3,54
4.5,81,Yes,6,4,66
5.5,63,No,6,6,49
8.5,65,Yes,4,9,62
3.5,65,Yes,6,4,42
5.5,85,No,8,6,76
3.5,65,Yes,4,7,45
3.5,97,Yes,5,4,80
3.5,49,Yes,4,6,30
7.5,56,Yes,8,3,45
7.5,92,Yes,8,5,86
7.5,53,No,5,10,41
8.5,41,No,9,4,37
5.5,87,No,4,7,73
5.5,52,Yes,8,6,37
4.5,66,Yes,8,7,52
7.5,48,Yes,5,6,39
4.5,46,Yes,7,2,29
2.5,87,Yes,4,7,60
4.5,49,No,8,8,31
8.5,95,No,6,7,89
9.5,93,No,5,4,88
3.5,48,Yes,7,4,28
7.5,61,No,7,5,52
9.5,62,No,5,9,60
4.5,46,No,7,5,24
3.5,87,No,8,2,72
5.5,48,Yes,7,5,34
1.5,66,Yes,4,3,39
3.5,63,No,6,10,46
8.5,68,No,8,8,68
8.5,56,No,5,10,50
4.5,59,No,6,10,45
2.5,46,No,9,2,23
8.5,82,No,8,4,80
8.5,79,No,6,5,75
4.5,46,No,7,4,27
3.5,67,No,9,5,50
2.5,58,Yes,5,10,34
9.5,59,No,5,4,54
1.5,83,Yes,4,3,54
7.5,78,Yes,7,1,70
5.5,79,No,4,4,66
8.5,46,No,4,9,38
4.5,45,Yes,7,1,29
7.5,64,Yes,8,7,57
5.5,80,No,9,3,65
5.5,98,Yes,4,8,84
9.5,52,No,6,6,51
9.5,78,No,9,1,78
9.5,79,Yes,8,10,80
6.5,61,No,7,5,50
6.5,88,Yes,5,8,78
5.5,56,No,8,3,41
9.5,87,No,4,4,84
8.5,61,Yes,6,7,54
7.5,73,Yes,9,6,67
7.5,47,No,7,7,43
6.5,88,No,5,9,77
5.5,84,Yes,9,9,76
4.5,57,No,6,2,41
3.5,63,Yes,5,3,46
3.5,99,Yes,7,4,74
6.5,93,Yes,9,6,85
4.5,99,No,8,5,85
6.5,81,Yes,4,6,72
3.5,41,No,7,8,24
4.5,41,Yes,6,2,25
9.5,66,No,8,6,65
5.5,53,No,9,9,39
7.5,87,Yes,5,5,75
2.5,78,Yes,8,1,59
5.5,92,Yes,8,8,79
9.5,92,No,6,4,89
3.5,95,No,4,8,77
9.5,51,No,8,4,49
6.5,71,Yes,8,8,60
4.5,67,Yes,4,9,47
7.5,94,Yes,4,5,85
8.5,67,Yes,5,5,62
6.5,85,Yes,9,2,77
5.5,64,No,5,9,50
6.5,43,Yes,4,4,31
5.5,65,No,7,3,48
8.5,75,Yes,4,2,71
1.5,89,Yes,5,3,70
7.5,42,Yes,6,4,36
2.5,40,Yes,6,9,21
9.5,56,Yes,9,6,56
1.5,46,No,8,10,20
6.5,87,Yes,6,5,75
9.5,44,No,5,9,43
1.5,58,No,6,8,35
4.5,78,No,7,6,60
4.5,85,No,4,3,68
9.5,73,Yes,4,7,71
5.5,74,Yes,5,10,62
5.5,88,Yes,8,6,77
6.5,55,Yes,4,8,45
1.5,79,Yes,6,6,51
1.5,89,No,7,10,69
9.5,86,Yes,8,4,88
3.5,78,Yes,8,10,61
4.5,66,No,8,7,48
1.5,80,Yes,4,7,56
9.5,77,Yes,9,8,74
8.5,89,No,8,2,88
2.5,89,Yes,5,6,67
8.5,64,No,6,3,57
7.5,65,No,9,8,60
6.5,95,Yes,7,4,84
1.5,53,No,6,4,27
7.5,53,Yes,5,2,42
7.5,53,Yes,5,6,46
9.5,64,Yes,9,6,64
1.5,75,No,6,1,51
2.5,43,No,4,8,16
9.5,86,No,5,3,80
9.5,54,No,8,1,50
6.5,71,No,7,10,64
6.5,57,No,7,1,43
4.5,53,No,5,1,33
4.5,97,No,8,5,85
5.5,40,No,6,5,27
3.5,81,No,7,1,63
1.5,59,No,8,5,34
1.5,49,Yes,8,7,29
7.5,49,No,4,5,37
1.5,98,Yes,5,9,74
1.5,63,Yes,8,4,38
3.5,73,Yes,6,9,54
4.5,67,Yes,7,8,49
4.5,66,No,4,1,49
2.5,79,Yes,6,4,55
1.5,40,Yes,7,7,13
3.5,72,Yes,5,1,47
4.5,43,No,6,8,25
3.5,46,Yes,7,2,27
8.5,48,Yes,4,8,43
1.5,55,No,7,4,29
2.5,44,No,8,8,21
7.5,73,No,4,1,62
4.5,99,No,6,5,81
8.5,62,No,9,9,63
3.5,82,No,5,7,60
6.5,89,No,4,3,75
9.5,64,No,4,4,60
1.5,96,No,4,10,69
1.5,90,Yes,7,7,67
8.5,52,No,8,6,44
3.5,63,Yes,9,4,45
5.5,50,Yes,5,3,35
1.5,91,No,5,2,63
5.5,90,No,8,10,78
6.5,56,No,7,9,45
8.5,76,No,7,3,70
